iter	RMSE
0	18384.52108
1	17601.54521
2	16854.59448
3	16246.78137
4	15787.39132
5	15194.12108
6	14693.21417
7	14206.85274
8	13907.72066
9	13565.18444
10	13212.69762
11	12878.77427
12	12763.19911
13	12450.02132
14	12394.18288
15	12115.28861
16	11886.37045
17	11808.91857
18	11564.50195
19	11472.82013
20	11416.16172
21	11196.94402
22	10996.25701
23	10826.76512
24	10752.38146
25	10602.21751
26	10570.49656
27	10466.81223
28	10397.14777
29	10137.24043
30	9994.769295
31	9955.485482
32	9915.263747
33	9880.595424
34	9748.121748
35	9679.125928
36	9598.184826
37	9519.922912
38	9469.768452
39	9386.495153
40	9364.923879
41	9259.346053
42	9146.727286
43	9071.976075
44	8993.991024
45	8870.631597
46	8852.788864
47	8826.881997
48	8778.834304
49	8677.444528
50	8619.753472
51	8596.042829
52	8580.857099
53	8495.759454
54	8381.27547
55	8327.547579
56	8281.537642
57	8254.67494
58	8120.929472
59	8091.160706
60	8035.878848
61	7977.435199
62	7957.738521
63	7909.430867
64	7883.799763
65	7838.994416
66	7823.267159
67	7757.466958
68	7637.996236
69	7608.372844
70	7503.88699
71	7412.840971
72	7369.328983
73	7241.554149
74	7220.511925
75	7161.033272
76	7110.093317
77	7096.82676
78	7067.734502
79	7054.909723
80	6991.384238
81	6977.373797
82	6964.685536
83	6955.12434
84	6944.121823
85	6932.933374
86	6858.626991
87	6846.644609
88	6833.740066
89	6768.57711
90	6670.398404
91	6654.940713
92	6623.503983
93	6581.898952
94	6574.72965
95	6566.915861
96	6520.661515
97	6513.721325
98	6433.971121
99	6392.745354
100	6384.149159
101	6376.014362
102	6327.444087
103	6321.254878
104	6289.430629
105	6247.813247
106	6231.745036
107	6150.341218
108	6133.621705
109	6124.310152
110	6116.420165
111	6110.935296
112	6050.71343
113	5986.727213
114	5980.567738
115	5973.800047
116	5935.970016
117	5926.949579
118	5868.333215
119	5812.91216
120	5806.04672
121	5774.829663
122	5734.596234
123	5729.043991
124	5690.683471
125	5667.040145
126	5617.77684
127	5610.78859
128	5606.716564
129	5603.078649
130	5575.75416
131	5569.459864
132	5524.500722
133	5486.344517
134	5471.727746
135	5410.98679
136	5368.827932
137	5326.909443
138	5284.393017
139	5231.949649
140	5226.336224
141	5185.012492
142	5181.203849
143	5145.152024
144	5124.817731
145	5091.009502
146	5086.956413
147	5078.574439
148	5036.517701
149	5033.727796
150	5000.70116
151	4997.722522
152	4977.497112
153	4939.421353
154	4905.448314
155	4879.558759
156	4857.674931
157	4839.072801
158	4836.712847
159	4813.221011
160	4780.94859
161	4759.779039
162	4734.485973
163	4732.240312
164	4711.654855
165	4695.426905
166	4677.073759
167	4638.928403
168	4605.033053
169	4589.045663
170	4547.20436
171	4529.582398
172	4520.720856
173	4495.980521
174	4482.197578
175	4467.845729
176	4438.599859
177	4436.508533
178	4417.273697
179	4400.700837
180	4384.063437
181	4372.094366
182	4362.074134
183	4346.668875
184	4319.533548
185	4301.284229
186	4274.442713
187	4267.55601
188	4254.377657
189	4225.471962
190	4221.206772
191	4207.181112
192	4189.808245
193	4183.181121
194	4169.93269
195	4142.817481
196	4125.987425
197	4105.206591
198	4095.473347
199	4072.445547
