iter	Passed	Remaining
0	134	26777
1	136	13534
2	138	9088
3	140	6887
4	142	5551
5	145	4688
6	147	4078
7	149	3594
8	151	3208
9	162	3092
10	164	2820
11	166	2601
12	167	2408
13	169	2249
14	170	2108
15	172	1980
16	179	1933
17	194	1969
18	196	1868
19	197	1779
20	198	1695
21	200	1623
22	202	1558
23	203	1492
24	204	1433
25	205	1378
26	208	1333
27	209	1286
28	210	1242
29	212	1201
30	213	1166
31	215	1131
32	217	1099
33	223	1092
34	226	1066
35	227	1036
36	229	1012
37	231	985
38	233	961
39	234	938
40	236	916
41	237	895
42	239	875
43	241	855
44	242	836
45	244	817
46	246	801
47	247	784
48	249	768
49	251	754
50	252	737
51	254	723
52	255	709
53	257	696
54	259	683
55	260	669
56	261	656
57	263	644
58	264	631
59	265	619
60	266	608
61	284	633
62	285	621
63	287	610
64	300	623
65	301	611
66	302	601
67	304	590
68	305	580
69	307	570
70	309	561
71	311	553
72	312	543
73	313	534
74	330	550
75	345	563
76	347	554
77	349	545
78	350	536
79	361	541
80	362	533
81	364	524
82	366	516
83	367	507
84	376	508
85	377	500
86	379	492
87	380	484
88	381	476
89	383	468
90	385	461
91	387	454
92	388	447
93	390	440
94	406	448
95	407	441
96	409	434
97	410	427
98	411	420
99	413	413
100	415	407
101	416	400
102	418	393
103	419	387
104	421	381
105	422	374
106	424	368
107	425	362
108	427	357
109	429	351
110	430	345
111	432	339
112	433	333
113	435	328
114	436	322
115	437	317
116	439	311
117	450	312
118	451	307
119	453	302
120	455	297
121	456	291
122	464	291
123	481	295
124	483	290
125	485	285
126	486	279
127	511	287
128	512	282
129	514	277
130	516	271
131	517	266
132	519	261
133	520	256
134	523	251
135	524	246
136	525	241
137	527	237
138	542	238
139	544	233
140	546	228
141	556	227
142	558	222
143	560	217
144	561	213
145	563	208
146	564	203
147	572	201
148	587	201
149	589	196
150	591	191
151	592	187
152	603	185
153	618	184
154	620	180
155	622	175
156	623	170
157	625	166
158	627	161
159	629	157
160	630	152
161	632	148
162	633	143
163	635	139
164	637	135
165	638	130
166	649	128
167	650	123
168	652	119
169	653	115
170	654	111
171	656	106
172	657	102
173	659	98
174	661	94
175	662	90
176	677	88
177	679	83
178	680	79
179	682	75
180	692	72
181	694	68
182	696	64
183	697	60
184	699	56
185	700	52
186	707	49
187	709	45
188	723	42
189	724	38
190	726	34
191	727	30
192	738	26
193	753	23
194	755	19
195	756	15
196	758	11
197	759	7
198	761	3
199	768	0
